Time,Source,Destination,Protocol,Length,Info
1970-01-01 00:00:01.820757000,172.16.0.8,64.13.134.52,TCP,58,36051  >  3880 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.820826000,172.16.0.8,64.13.134.52,TCP,58,36051  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.820890000,172.16.0.8,64.13.134.52,TCP,58,36051  >  14238 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.820955000,172.16.0.8,64.13.134.52,TCP,58,36051  >  2038 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.821023000,172.16.0.8,64.13.134.52,TCP,58,36050  >  8291 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821090000,172.16.0.8,64.13.134.52,TCP,58,36050  >  3826 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.821153000,172.16.0.8,64.13.134.52,TCP,58,36050  >  3077 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821217000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1187 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821281000,172.16.0.8,64.13.134.52,TCP,58,36050  >  7200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1970-01-01 00:00:01.821345000,172.16.0.8,64.13.134.52,TCP,58,36050  >  5822 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.821414000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1024 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821478000,172.16.0.8,64.13.134.52,TCP,58,36050  >  10626 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821542000,172.16.0.8,64.13.134.52,TCP,58,36050  >  32 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821606000,172.16.0.8,64.13.134.52,TCP,58,36050  >  15004 [SYN] Seq=0 Win=3072 Len=0 MSS=1460
1970-01-01 00:00:01.821670000,172.16.0.8,64.13.134.52,TCP,58,36050  >  52848 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821730000,172.16.0.8,64.13.134.52,TCP,58,36050  >  24 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.821793000,172.16.0.8,64.13.134.52,TCP,58,36050  >  5101 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.821857000,172.16.0.8,64.13.134.52,TCP,58,36050  >  1296 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
1970-01-01 00:00:01.821921000,172.16.0.8,64.13.134.52,TCP,58,36050  >  9102 [SYN] Seq=0 Win=4096 Len=0 MSS=1460
1970-01-01 00:00:01.880300000,172.16.0.8,64.13.134.52,TCP,58,36051  >  9917 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
